"predictor","agg","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B1_RaoQ_w9","agg1",0.333333333333333,1,0.333333333333333,1,-15.2050711401074,-15.2050711401074,3,-7.77330752688172,-4.507,1,-2.6945,-2.6945
"B1_RaoQ_w9","agg2",0.333333333333333,1,0.333333333333333,1,-12.6967711401074,-12.6967711401074,3,-6.55807419354839,-3.5084,1,-1.6806,-1.6806
"B1_RaoQ_w9","agg4",0.333333333333333,1,0.333333333333333,1,-8.54247114010737,-8.54247114010737,3,-4.74407419354839,-2.9681,1,-0.9332,-0.9332
"B1_glcm_ASM","agg1",0.333333333333333,1,0.333333333333333,1,-5.70917114010737,-5.70917114010737,3,-4.81027419354839,-4.7979,1,-2.9854,-2.9854
"B1_glcm_ASM","agg2",0.333333333333333,1,0.333333333333333,1,-7.66557114010737,-7.66557114010737,3,-5.84960752688172,-5.201,1,-3.3885,-3.3885
"B1_glcm_ASM","agg4",0.333333333333333,1,0.333333333333333,1,-7.19667114010737,-7.19667114010737,3,-5.29710752688172,-4.4193,1,-2.6068,-2.6068
"B1_glcm_contrast","agg1",0.666666666666667,0,0.333333333333333,2,1.57706635963103,1.57706635963103,0,NA,NA,1,-3.1956,-3.1956
"B1_glcm_contrast","agg2",0.666666666666667,0,0.333333333333333,2,8.74781635963102,8.74781635963102,0,NA,NA,1,4.8009,4.8009
"B1_glcm_contrast","agg4",0.666666666666667,0,0.333333333333333,2,24.425966359631,24.425966359631,0,NA,NA,1,24.5137,24.5137
"B1_glcm_dissimilarity","agg1",0.333333333333333,1,0.333333333333333,1,-5.57267114010737,-5.57267114010737,3,-4.56340752688172,-5.4727,1,-3.6602,-3.6602
"B1_glcm_dissimilarity","agg2",0.333333333333333,1,0.333333333333333,1,-3.97287114010737,-3.97287114010737,3,-3.15464086021505,-3.68,1,-1.8675,-1.8675
"B1_glcm_dissimilarity","agg4",0.333333333333333,1,0.333333333333333,1,-1.75517114010737,-1.75517114010737,3,-1.46680752688172,-1.73112258064516,1,-0.5484,-0.5484
"B1_glcm_entropy","agg1",0.333333333333333,1,0.333333333333333,1,-6.19907114010737,-6.19907114010737,3,-5.04427419354839,-5.7419,1,-3.9294,-3.9294
"B1_glcm_entropy","agg2",0.333333333333333,1,0.333333333333333,1,-4.86347114010737,-4.86347114010737,3,-4.03207419354839,-4.5847,1,-2.7722,-2.7722
"B1_glcm_entropy","agg4",0.333333333333333,1,0.333333333333333,1,-3.29657114010737,-3.29657114010737,3,-2.83734086021505,-3.27252258064516,1,-1.5895,-1.5895
"B1_glcm_homogeneity","agg1",0.333333333333333,1,0.333333333333333,1,-6.42387114010737,-6.42387114010737,3,-5.43290752688172,-6.39982258064516,1,-4.6706,-4.6706
"B1_glcm_homogeneity","agg2",0.333333333333333,1,0.333333333333333,1,-5.95557114010737,-5.95557114010737,3,-4.75617419354839,-5.1166,1,-3.3041,-3.3041
"B1_glcm_homogeneity","agg4",0.333333333333333,1,0.333333333333333,1,-4.17247114010737,-4.17247114010737,3,-3.63014086021505,-4.14842258064516,1,-2.3485,-2.3485
"B2_CV","agg1",0.333333333333333,1,0.333333333333333,1,-1.56397114010737,-1.56397114010737,3,-3.41580752688172,-3.1527,1,-1.3402,-1.3402
"B2_CV","agg2",0.333333333333333,1,0.333333333333333,1,-1.34727114010737,-1.34727114010737,3,-3.28227419354839,-3.2309,1,-1.4184,-1.4184
"B2_CV","agg4",0.333333333333333,1,0.333333333333333,1,-0.56377114010737,-0.56377114010737,3,-2.40314086021505,-2.1395,1,-0.327,-0.327
"B2_RaoQ_w3","agg1",0.333333333333333,1,0.333333333333333,1,-5.32357114010737,-5.32357114010737,3,-3.89647419354839,-4.0595,1,-0.5179,-0.5179
"B2_RaoQ_w3","agg2",0.333333333333333,1,0.333333333333333,1,-6.51087114010737,-6.51087114010737,3,-4.82840752688172,-5.0743,1,-1.1116,-1.1116
"B2_RaoQ_w3","agg4",0.333333333333333,1,0.333333333333333,1,-7.19137114010737,-7.19137114010737,3,-5.28047419354839,-5.4391,1,-1.4225,-1.4225
"B2_RaoQ_w5","agg1",0.333333333333333,0.333333333333333,0,1,1.38136749412149,1.38136749412149,1,-1.9998,-1.9998,0,NA,NA
"B2_RaoQ_w5","agg2",0.666666666666667,0,0.333333333333333,2,6.38996635963102,6.38996635963102,0,NA,NA,1,-3.3481,-3.3481
"B2_RaoQ_w5","agg4",0.666666666666667,0,0.333333333333333,2,18.599716359631,18.599716359631,0,NA,NA,1,11.362,11.362
"B2_RaoQ_w7","agg1",0.333333333333333,1,0.333333333333333,1,-6.55927114010737,-6.55927114010737,3,-4.89010752688172,-5.1676,1,-1.155,-1.155
"B2_RaoQ_w7","agg2",0.333333333333333,1,0.333333333333333,1,-6.37867114010737,-6.37867114010737,3,-4.80274086021505,-5.1254,1,-1.1157,-1.1157
"B2_RaoQ_w7","agg4",0.333333333333333,1,0.333333333333333,1,-4.76597114010737,-4.76597114010737,3,-3.89250752688172,-4.2967,1,-0.8264,-0.8264
"B2_RaoQ_w9","agg1",0.333333333333333,1,0.333333333333333,1,-5.36407114010737,-5.36407114010737,3,-4.14660752688172,-4.7466,1,-0.5407,-0.5407
"B2_RaoQ_w9","agg2",0.333333333333333,1,0.333333333333333,1,-4.12117114010737,-4.12117114010737,3,-3.26610752688172,-4.0286,1,0.1399,0.1399
"B2_RaoQ_w9","agg4",0.333333333333333,1,0.333333333333333,1,-2.12217114010737,-2.12217114010737,3,-1.74524086021505,-2.09812258064516,1,1.1072,1.1072
"B2_glcm_ASM","agg1",0.333333333333333,1,0.333333333333333,1,-7.08647114010737,-7.08647114010737,3,-4.50064086021505,-4.3414,1,-0.2856,-0.2856
"B2_glcm_ASM","agg2",0.333333333333333,1,0.333333333333333,1,-7.08757114010737,-7.08757114010737,3,-4.42230752688172,-4.3791,1,-0.0118,-0.0118
"B2_glcm_ASM","agg4",0.333333333333333,1,0.333333333333333,1,-5.02977114010737,-5.02977114010737,3,-3.20980752688172,-3.2984,1,0.4872,0.4872
"B2_glcm_contrast","agg1",0.333333333333333,1,0.333333333333333,1,-3.14437114010737,-3.14437114010737,3,-1.54427419354839,-0.8106,1,1.0019,1.0019
"B2_glcm_contrast","agg2",0.666666666666667,0,0.333333333333333,2,5.80246635963103,5.80246635963103,0,NA,NA,1,-0.799600000000001,-0.799600000000001
"B2_glcm_contrast","agg4",0.666666666666667,0,0.333333333333333,2,20.374266359631,20.374266359631,0,NA,NA,1,15.0451,15.0451
"B2_glcm_dissimilarity","agg1",0.333333333333333,1,0.333333333333333,1,-7.84317114010737,-7.84317114010737,3,-5.63404086021505,-4.7808,1,-2.9683,-2.9683
"B2_glcm_dissimilarity","agg2",0.333333333333333,1,0.333333333333333,1,-5.95777114010737,-5.95777114010737,3,-4.22577419354839,-3.4395,1,-1.4916,-1.4916
