"predictor","Type","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B4_glcm_contrast","ext",0.363636363636364,0.636363636363636,0.363636363636364,4,0.0971263078033301,-0.199102957483405,7,-0.62481070379675,-0.746630769230769,4,-1.931425,-1.44095
"B4_glcm_contrast","semi_nat",0.5,0.375,0.625,4,-0.339850434691895,-0.332256077574175,3,-1.44981152027207,-2.04102941176471,5,-2.91384,-4.9605
"B4_glcm_dissimilarity","int",0.454545454545455,0.454545454545455,0.181818181818182,5,-0.25458763951962,-0.22773250587851,5,-0.0500498535224366,-0.017604347826087,2,0.29305,0.29305
"B4_glcm_dissimilarity","ext",0.272727272727273,0.727272727272727,0.272727272727273,3,-0.03935333130908,-0.13304267292014,8,0.136078134177845,0.162902357320099,3,0.219066666666667,0.631
"B4_glcm_dissimilarity","semi_nat",0.375,0.5,0.5,3,-0.184652151184477,-0.34421402864319,4,0.0345746931292843,0.024197425474255,4,-3.987525,-4.91995
"B4_glcm_entropy","int",0.454545454545455,0.454545454545455,0.454545454545455,5,-0.389605140291773,-0.11663398391069,5,0.10354,0.081663636363636,5,-1.62426,-0.9987
"B4_glcm_entropy","ext",0.545454545454545,0.545454545454545,0.272727272727273,6,0.0700749565829566,-0.0280184918570951,6,0.14589501334596,0.172273504273504,3,0.631966666666667,0.9604
"B4_glcm_entropy","semi_nat",0.5,0.625,0.375,4,-0.162795662726657,-0.139051707468355,5,0.111769567382509,0.12292962962963,3,-3.6668,-2.9814
"B4_glcm_homogeneity","int",0.545454545454545,0.545454545454545,0.545454545454545,6,-0.323697618279743,-0.0628969960651402,6,0.166016666666666,0.1725,6,-1.0044,0.4854
"B4_glcm_homogeneity","ext",0.454545454545455,0.727272727272727,0.454545454545455,5,0.105515956217208,0.00665732707986003,8,0.18547732188238,0.218238709677419,5,-0.81048,0.9622
"B4_glcm_homogeneity","semi_nat",0.625,0.5,0.5,5,-0.218289904168166,-0.27850413656701,4,0.138479551820728,0.165351960784314,4,-4.503875,-4.995
"SSD","int",0.0909090909090909,0.818181818181818,0.272727272727273,1,-0.20576000821959,-0.20576000821959,9,0.0343528785792212,-0.00810000000000011,3,1.83036666666667,1.7968
"SSD","ext",0.272727272727273,0.545454545454545,0.0909090909090909,3,0.0204545912532766,-0.11839924252598,6,-0.0291038438562632,-0.0418903846153845,1,0.3776,0.3776
"SSD","semi_nat",0.375,0.75,0.5,3,-0.248918458759366,-0.2249668699342,6,-0.168726747790354,-0.230302574525745,4,-0.364025,0.4044
