"predictor","Type","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","mean_diff_shannon","mean_diff_turnover","mean_diff_richness","rank_ss_S","rank_ss_T","rank_ss_R","ranksum_ss_X","rank_delta_S","rank_delta_T","rank_delta_R","ranksum_delta_X","ranksum"
"B2_RaoQ_w3","int_prox",0.125,NA,0.25,-1.64092378852676,0,-0.7251,16,NA,36,52,13,140.5,131,284.5,336.5
"B2_RaoQ_w3","semi_nat",0.125,0.25,0.25,-0.23027555497604,0.666627513227514,1.6912,16,48.5,36,100.5,92,41,90,223,323.5
"B2_RaoQ_w5","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,1.15787933276213,9.21576153846154,1.0967,93,7.5,65,165.5,30,6,116,152,317.5
"B2_RaoQ_w5","int_cit",0.333333333333333,NA,0.333333333333333,-0.99476000821959,0,1.0029,75,NA,91,166,39,140.5,122,301.5,467.5
"B2_RaoQ_w5","int_prox",0.125,NA,0.25,-2.30632378852676,0,-1.76175,16,NA,36,52,7,140.5,85,232.5,284.5
"B2_RaoQ_w5","semi_nat",0.25,0.125,0.375,-0.49329425317195,1.99261428571429,2.34053333333333,43,25,122,190,59,23,44,126,316
"B2_RaoQ_w7","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,1.55867933276213,11.1623615384615,1.0076,93,7.5,65,165.5,17,4,120,141,306.5
"B2_RaoQ_w7","int_cit",0.333333333333333,NA,0.333333333333333,-1.00466000821959,0,0.993,75,NA,91,166,38,140.5,123,301.5,467.5
"B2_RaoQ_w7","int_prox",0.125,NA,0.25,-2.77502378852676,0,-2.1746,16,NA,36,52,4,140.5,46,190.5,242.5
"B2_RaoQ_w7","semi_nat",0.25,0.125,0.375,-0.64859425317195,2.38501428571429,2.3678,43,25,122,190,53,17,42,112,302
"B2_RaoQ_w9","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,2.06637933276212,12.9393615384615,1.0034,93,7.5,65,165.5,8,2,121,131,296.5
"B2_RaoQ_w9","int_cit",0.333333333333333,NA,0.333333333333333,-1.03586000821959,0,0.9618,75,NA,91,166,36,140.5,126,302.5,468.5
"B2_RaoQ_w9","int_prox",0.125,NA,0.25,-3.24632378852676,0,-2.29655,16,NA,36,52,2,140.5,45,187.5,239.5
"B2_RaoQ_w9","semi_nat",0.25,0.125,0.375,-0.63654425317195,2.74021428571429,2.49423333333333,43,25,122,190,55,14,37,106,296
"B2_glcm_ASM","ext_prox",0.454545454545455,0.363636363636364,0.181818181818182,-0.243109891837768,-0.307971655518395,-8.06205,115,69,12.5,196.5,86,77,1,164,360.5
"B2_glcm_ASM","int_cit",0.333333333333333,0.666666666666667,0.333333333333333,-0.39673825130964,-0.417727777777778,-1.9959,75,98.5,91,264.5,67,50,49,166,430.5
"B2_glcm_ASM","int_prox",0.125,NA,0.25,-0.05132378852676,0,1.9119,16,NA,36,52,144,140.5,73,357.5,409.5
"B2_glcm_ASM","semi_nat",0.25,0.125,0.375,0.18070574682805,-0.435285714285714,1.98056666666667,43,25,122,190,104,49,59,212,402
"B2_glcm_contrast","ext_prox",0.727272727272727,0.454545454545455,0.272727272727273,2.78429611320882,4.95569196818464,-1.47563333333333,155,79.5,65,299.5,3,12,101,116,415.5
"B2_glcm_contrast","int_cit",0.666666666666667,0.333333333333333,0.666666666666667,-2.55019912976461,0.304844444444444,-2.35095,145,62.5,156.5,364,5,78,43,126,490
"B2_glcm_contrast","int_prox",0.25,0.375,0.375,1.15168804842435,1.36660909090909,-0.114766666666666,43,74.5,122,239.5,31,29,151,211,450.5
"B2_glcm_contrast","semi_nat",0.375,0.5,0.5,0.246104096625204,2.0978794973545,-0.812124999999999,107,82.5,140.5,330,85,20,128,233,563
"B2_glcm_dissimilarity","ext_prox",0.636363636363636,0.363636363636364,0.181818181818182,0.0753910363850457,-0.145793910736939,-0.0285000000000002,136,69,12.5,217.5,136,107,154,397,614.5
"B2_glcm_dissimilarity","int_cit",1,0.666666666666667,0.666666666666667,-0.210177414479973,-0.402929951690822,-0.0552,161,98.5,156.5,416,94,56,152,302,718
"B2_glcm_dissimilarity","int_prox",0.125,0.25,0.375,0.0796723055779303,-0.295518181818182,0.278833333333333,16,48.5,122,186.5,133,79,146,358,544.5
"B2_glcm_dissimilarity","semi_nat",0.25,0.375,0.375,-0.0729212124551199,-0.273705114638448,-1.70033333333333,43,74.5,122,239.5,137,85,89,311,550.5
"B2_glcm_entropy","ext_prox",0.272727272727273,0.181818181818182,0.0909090909090909,-0.0800043518511632,-0.245008695652174,0.7099,60,40,2,102,132,90,132,354,456
"B2_glcm_entropy","int_cit",0.333333333333333,0.666666666666667,0.333333333333333,-0.38173825130964,-0.380777777777778,-1.9809,75,98.5,91,264.5,70,61,57.5,188.5,453
"B2_glcm_entropy","int_prox",0.125,NA,0.25,-0.14892378852676,0,1.82815,16,NA,36,52,110,140.5,80,330.5,382.5
"B2_glcm_entropy","semi_nat",0.375,NA,0.25,0.0785707384288001,0,4.39545,107,NA,36,143,134,140.5,15,289.5,432.5
"B2_glcm_homogeneity","ext_prox",0.363636363636364,0.0909090909090909,0.181818181818182,0.148403099829143,-0.172013043478261,3.46335,93,7.5,12.5,113,111,104,23,238,351
"B2_glcm_homogeneity","int_cit",0.333333333333333,0.666666666666667,0.333333333333333,-0.38513825130964,-0.411927777777778,-1.9843,75,98.5,91,264.5,69,51,55,175,439.5
"B2_glcm_homogeneity","int_prox",0.125,NA,0.25,0.00397621147323998,0,1.9569,16,NA,36,52,161,140.5,63,364.5,416.5
"B2_glcm_homogeneity","semi_nat",0.375,NA,0.25,0.1169707384288,0,4.46805,107,NA,36,143,119,140.5,12,271.5,414.5
"B3_CV","ext_prox",0.272727272727273,NA,0.272727272727273,0.23777054728085,0,2.6248,60,NA,65,125,90,140.5,32,262.5,387.5
