"","date","B1_cv","B2_cv","B3_cv","B4_cv","B1_glcm_contrast_std","B1_glcm_homogeneity_std","B1_glcm_dissimilarity_std","B1_glcm_entropy_std","B1_glcm_ASM_std","B2_glcm_contrast_std","B2_glcm_homogeneity_std","B2_glcm_dissimilarity_std","B2_glcm_entropy_std","B2_glcm_ASM_std","B3_glcm_contrast_std","B3_glcm_homogeneity_std","B3_glcm_dissimilarity_std","B3_glcm_entropy_std","B3_glcm_ASM_std","B4_glcm_contrast_std","B4_glcm_homogeneity_std","B4_glcm_dissimilarity_std","B4_glcm_entropy_std","B4_glcm_ASM_std","B1_window_3","B1_window_5","B1_window_7","B1_window_9","B2_window_3","B2_window_5","B2_window_7","B2_window_9","B3_window_3","B3_window_5","B3_window_7","B3_window_9","B4_window_3","B4_window_5","B4_window_7","B4_window_9","site"
"32",20240709,0.130734531430272,0.201537537071872,0.0827772897870204,0.103330855065591,4.53745995820127,0.160146421721333,0.691212732844826,0.431632386162948,0.147485903414979,4.03420419751931,0.168980991802608,0.712984942221827,0.401128018599982,0.121076274462624,5.12913056361746,0.131547551860459,0.732991265778976,0.270201831966673,0.0724135437981841,3.77825550986537,0.173959242346708,0.773210078890111,0.390137260599195,0.119566421887178,2.47873449629007,3.34423098038841,3.83076531916217,4.18172964630283,2.9954147184059,4.29129037055897,5.12611095729335,5.71222727750526,2.42387673642012,3.21779031245789,3.77075779589144,4.20377453123737,3.39699852743746,4.7472257509032,5.53606908180161,5.97564078508835,"site11"
"42",20240812,0.131624258424827,0.230172300314016,0.139329643595267,0.165559229999681,2.48281293896363,0.171415056688162,0.595039949190733,0.503329686120291,0.1960982802147,3.98048063719664,0.180276076741315,0.74282462545856,0.497886301515631,0.184931915189112,3.33432512548419,0.175778795995689,0.668338040889308,0.519029807648128,0.201036665818018,5.14349856809181,0.17884997214086,0.94810772230346,0.354003187136412,0.0950452543392473,2.11461266005956,3.0901806016294,3.75433665186376,4.21040921019199,2.61791309163277,3.9874278078565,5.00950542021285,5.76734472965052,2.19672437683971,3.2925399639703,4.0947965179782,4.69087939869169,4.80522805950262,7.29062398577883,9.02529760105981,10.2071161863513,"site11"
"13",20240408,0.10999229988879,0.163344552752283,0.0606696210378029,0.114906851337459,8.81774678160154,0.178233292792395,1.18656390285376,0.342354644835462,0.0977194873993541,7.6042636062497,0.182854235313153,1.13296256189985,0.328085984501174,0.0864630208010868,7.93351210764956,0.12192763802578,0.97841982922579,0.206912755879563,0.0457060026331061,8.31729214321318,0.163120110666649,1.16191193776082,0.279518740885936,0.0695824167715188,3.18414911556662,4.46357965574774,5.27460888233469,5.70402417181092,4.07786392576111,5.90860589476275,6.94766249863644,7.4831511312224,2.12310025039359,2.57162388583082,2.90268253296689,3.12790440193072,3.19565701705013,4.60570031896331,5.41932715143341,5.73126851285608,"site12"
"23",20240513,0.231710360385538,0.382724985629655,0.100745913936786,0.175007794726131,7.59314524393916,0.182532016843503,1.08676246305764,0.369859790040275,0.107145829003463,8.45758717391931,0.20313155560551,1.21799322384541,0.401268163101343,0.111422078423376,8.24697958756889,0.144001018163599,1.00472600687397,0.277251761295823,0.0758332462860712,6.96732131740743,0.164367196178986,1.0772595137663,0.270059568418001,0.0623814410069105,4.97515910290618,6.95660429640179,8.01629664555092,8.68623763418321,5.94046661244006,8.50358516623397,9.91198562290428,10.7425650231001,2.83043581621384,3.73301737117198,4.39398533622811,5.00567174542434,4.21185748008306,6.02539553932335,7.15555226337498,7.6766640335371,"site12"
"33",20240709,0.208712638820775,0.353943226700477,0.106371329883224,0.175618807797055,4.04785356756448,0.198325471761639,0.839040765795479,0.496084892734228,0.175881027990357,4.7734832779056,0.215458102112423,0.965604301288401,0.513556097084959,0.174426523573027,3.61260485676349,0.159320217641225,0.722399669312094,0.349977749357878,0.0992087086612275,4.45061525135071,0.173234529175668,0.874444379782574,0.334240933669923,0.0900215793102537,4.11594091486332,5.78272345683437,6.8609030977271,7.69953607527817,5.75539907685257,8.25147158678334,9.75929217233806,10.766137444053,2.88913723703615,4.04259946783546,4.82011720929161,5.4778050372853,4.05280695687314,5.80422465501229,6.72213424705717,7.0499018656245,"site12"
"43",20240812,0.222027479901601,0.376019183506706,0.252454123212831,0.202397396856564,6.95978640828072,0.204817854331531,1.06117425734157,0.456151854250761,0.143284197919577,7.29540640281421,0.22649673263229,1.15294140932371,0.574184414034664,0.212416400476418,5.85659285667774,0.204235623812277,1.00073103501612,0.479756643777622,0.160480490586228,5.0818049724264,0.180028152389278,0.953246240777038,0.343589566425145,0.0882540959249521,4.76309559332085,6.76960526037736,7.97206029021448,8.82754986114886,5.84594929742096,8.38546141748504,9.90125650970213,10.8838946426936,4.5555082384604,6.71503612992705,8.07837525229041,8.99055877018493,4.47514969616836,6.38542948883521,7.36420019168787,7.67075899694726,"site12"
"14",20240408,0.100980569343114,0.133999962979558,0.0712957032246342,0.0977864796461371,6.00135532397307,0.18091745400618,0.929576945807372,0.42805636827839,0.138622973528846,5.56439562329595,0.180920531773184,0.886240851793771,0.453129500414697,0.159252093710226,4.67096047137376,0.147873221693802,0.747271609096237,0.313782384189266,0.0849371674642179,3.17276259584552,0.136655803268702,0.64536330575779,0.271848384106051,0.0671997980215697,4.56410578881921,6.56519080246021,7.76839471707525,8.43451343368953,5.258375353821,7.67673337216083,9.14317725468277,10.0251372141843,3.65957701014592,5.04024532179442,5.89710391268968,6.39664601578417,2.50035188891692,3.42377832911155,4.12722271096896,4.67263547280782,"site13"
"24",20240513,0.30493134789962,0.50732300438586,0.172046060922255,0.139832196217015,6.61333796390723,0.1912297738481,0.969050588518069,0.477290686744944,0.166930142270641,4.61843100566655,0.201037883587907,0.859260643533568,0.537792961749396,0.202284415005511,5.08214961268667,0.161352894571731,0.807469987573808,0.377907024511376,0.117440597705978,4.1343437444093,0.144488782553302,0.739257223672005,0.292940204905079,0.0777657352855959,8.07175058656758,11.8492750823086,14.0073615925501,15.193930854809,8.47041717459821,12.9523774880283,15.7543773069483,17.402111997046,5.84438802271923,8.52270263789421,10.0655468297519,10.8786356318023,3.86492949461981,5.0016248634554,5.46867838011315,5.69339521233744,"site13"
"34",20240709,0.262875714408605,0.46385868035014,0.186109138194582,0.131968107045728,4.44340494427637,0.193048050139273,0.825884149171246,0.522995118149501,0.205971784805647,4.95459061844037,0.210516211101354,0.891814471144332,0.59709571175595,0.244382526655867,4.92316664205002,0.152396377993876,0.783245256380492,0.352701351968014,0.103375651257351,4.26220721290844,0.13577235109613,0.727709882417339,0.263117717619179,0.0627552081653326,6.31264303931314,9.57835094609274,11.6709020599907,12.9657754074124,8.19038351718103,12.509747371084,15.263540710691,16.9367266230403,5.36887375596035,7.91532851588381,9.44607977954349,10.3213124452386,3.28793642510347,4.13552573797606,4.5008116259504,4.694145879538,"site13"
"44",20240812,0.361087011161502,0.544171423353737,0.353010547895589,0.167396709602907,5.88297409721781,0.209182905840907,0.975669568912249,0.554883458249992,0.213363234321826,4.84630803987583,0.217553907857479,0.900709212385485,0.628979855899049,0.262038074899155,5.40660198454265,0.217847231956191,0.932427924470342,0.641137257029241,0.266456938767532,3.62868976390629,0.145788186712718,0.703590726906783,0.305497018406049,0.0820259205604612,7.8723454591014,11.6606745356012,13.9358149196154,15.239841511814,8.28193066804142,12.5850153828802,15.3163341913105,16.9929718909346,7.51135835863762,11.3997604324879,13.8670060946581,15.3482134566277,3.67545337525135,4.72251279610159,5.22636709731731,5.49672615548921,"site13"
